limitingDepth,numDetections,oneSigma
18.5,0.00,0.00
18.6,0.00,0.00
18.7,0.00,0.00
18.8,0.00,0.00
18.9,0.00,0.00
19.0,0.00,0.00
19.1,0.00,0.00
19.2,0.00,0.00
19.3,0.00,0.00
19.4,0.00,0.00
19.5,0.00,0.00
19.6,0.00,0.00
19.7,0.00,0.00
19.8,0.00,0.00
19.9,0.00,0.00
20.0,0.01,0.01
20.1,0.01,0.01
20.2,0.01,0.01
20.3,0.01,0.01
20.4,0.01,0.01
20.5,0.01,0.01
20.6,0.02,0.01
20.7,0.02,0.02
20.8,0.02,0.02
20.9,0.03,0.02
21.0,0.03,0.03
21.1,0.04,0.03
21.2,0.05,0.03
21.3,0.06,0.04
21.4,0.07,0.04
21.5,0.08,0.05
21.6,0.09,0.05
21.7,0.11,0.06
21.8,0.13,0.07
21.9,0.15,0.07
22.0,0.17,0.08
22.1,0.20,0.09
22.2,0.24,0.10
22.3,0.28,0.11
22.4,0.34,0.12
22.5,0.40,0.13
22.6,0.47,0.14
22.7,0.55,0.15
22.8,0.65,0.17
22.9,0.77,0.18
23.0,0.91,0.20
23.1,1.07,0.22
23.2,1.27,0.25
23.3,1.49,0.29
23.4,1.75,0.33
23.5,2.05,0.38
23.6,2.39,0.44
23.7,2.79,0.51
23.8,3.25,0.59
23.9,3.77,0.67
24.0,4.36,0.76
24.1,5.04,0.85
24.2,5.81,0.95
24.3,6.67,1.05
24.4,7.65,1.15
24.5,8.76,1.25
24.6,10.00,1.34
24.7,11.39,1.42
24.8,12.95,1.50
24.9,14.69,1.56
